our-id,film-title,screening-date,doors,start,price,discounted,imdb-link,classification,main-image,alt-text,youtube,short-description,description
a_prophet,A Prophet,2015-10-09,19:30:00,20:00:00,4,3,,18,resources/aprophetbackdrop.jpg,,https://www.youtube-nocookie.com/embed/YWmIpiEJ1ms?rel=0&amp,,
asunder,Asunder,,19:30:00,20:00:00,4,3,,,resources/asunderbackdrop.jpg,,https://www.youtube-nocookie.com/embed/JXotucIFYZ0,,
bandeapart,Bandeapart,,19:30:00,20:00:00,4,3,,,resources/loneliness4.jpg,,,,
barbara,Barbara,2018-09-14,19:30:00,20:00:00,4,3,,12,resources/barbara.jpg,,https://www.youtube-nocookie.com/embed/q_Pn9zwhJtI,,
the_big_lebowski,The Big Lebowski,,19:30:00,20:00:00,4,3,,,resources/barbara.jpg,,https://www.youtube-nocookie.com/embed/q_Pn9zwhJtI,,
bpm,Bpm,2020-01-17,19:30:00,20:00:00,4,3,,15,resources/bpm2.jpg,,https://www.youtube-nocookie.com/embed/UVAw7JfTqBU,,
breathing,Breathing,2020-03-06,19:30:00,20:00:00,4,3,,15,resources/Breathing2.jpg,,https://www.youtube-nocookie.com/embed/rLPwjQKpdLk,,
burnt_by_the_sun,Burnt By The Sun,2019-11-01,19:30:00,20:00:00,4,3,,15,resources/burntbythesunbackdrop.jpg,,https://www.youtube-nocookie.com/embed/J8sRJ-zAMFk,,
captain_fantastic,Captain Fantastic,2017-11-25,19:30:00,20:00:00,4,3,,15,resources/captainfantastic.jpg,,https://www.youtube-nocookie.com/embed/D1kH4OMIOMc,,
catch_me_daddy,Catch Me Daddy,2016-04-22,19:30:00,20:00:00,4,3,,15,resources/catchmebackdrop.jpg,,,,
a_story_of_children_and_film,A Story Of Children And Film,2016-12-09,19:30:00,20:00:00,4,3,,PG,resources/childrenfilmbackdrop.jpg,,https://www.youtube-nocookie.com/embed/ZX9Z9oP85_w,,
delicatessen,Delicatessen,2017-10-28,19:30:00,20:00:00,4,3,,15,resources/delicatessen.jpg,,https://www.youtube-nocookie.com/embed/GVL5_I4CvTc,,
dheepan,Dheepan,2018-04-28,19:30:00,20:00:00,4,3,,18,resources/dheepanbackdrop.png,,https://www.youtube-nocookie.com/embed/QpXHi7TGYpg,,
dig,Dig,2017-03-10,19:30:00,20:00:00,4,3,,15,resources/digbackdrop2.jpg,,https://www.youtube-nocookie.com/embed/RWK29MmRxTo,,
edith_walks,Edith Walks,2017-11-11,19:30:00,20:00:00,4,3,,n/a,resources/edithwalks2.jpg,,https://www.youtube-nocookie.com/embed/3DvGz0fa0Ig,,
